iter	Passed	Remaining
683	52659	24363
684	52861	24344
685	53058	24321
686	53198	24272
687	53316	24213
688	53429	24151
689	53511	24076
690	53635	24019
691	53812	23985
692	54003	23958
693	54202	23933
694	54318	23871
695	54535	23854
696	54675	23802
697	54891	23783
698	55010	23722
699	55093	23645
700	55259	23603
701	55380	23542
702	55487	23475
703	55643	23428
704	55741	23357
705	55864	23296
706	56066	23268
707	56223	23220
708	56376	23171
709	56462	23094
710	56614	23044
711	56765	22993
712	56895	22933
713	57037	22878
714	57147	22810
715	57265	22746
716	57382	22680
717	57483	22608
718	57606	22545
719	57723	22479
720	57848	22416
721	57960	22348
722	58069	22278
723	58204	22219
724	58347	22162
725	58464	22095
726	58619	22042
727	58712	21966
728	58962	21949
729	59079	21881
730	59215	21820
731	59321	21748
732	59457	21687
733	59569	21617
734	59663	21540
735	59797	21478
736	59898	21403
737	60035	21342
738	60195	21288
739	60327	21224
740	60442	21154
741	60582	21093
742	60737	21037
743	60871	20973
744	61055	20926
745	61191	20862
746	61372	20814
747	61497	20746
748	61620	20677
749	61789	20623
750	61972	20574
751	62133	20518
752	62326	20471
753	62474	20410
754	62606	20342
755	62724	20271
756	62906	20219
757	63104	20173
758	63296	20124
759	63435	20058
760	63593	19998
761	63730	19931
762	63869	19864
763	64013	19799
764	64203	19748
765	64326	19676
766	64423	19596
767	64542	19522
768	64684	19455
769	65050	19456
770	65374	19442
771	65695	19427
772	65855	19364
773	66205	19356
774	66416	19307
775	67115	19398
776	67335	19350
777	67481	19280
778	67971	19308
779	68174	19253
780	68433	19213
781	68581	19143
782	68831	19100
783	69019	19039
784	69147	18962
785	69342	18903
786	69540	18845
787	69702	18776
788	69832	18698
789	70010	18633
790	70164	18562
791	70283	18481
792	70457	18415
793	70666	18357
794	70853	18293
795	71049	18231
796	71201	18158
797	71369	18088
798	71614	18038
799	71785	17968
800	71911	17887
801	72058	17812
802	72210	17737
803	72447	17683
804	72678	17627
805	72826	17550
806	73003	17480
807	73242	17425
808	73378	17345
809	73521	17266
810	73641	17182
811	73766	17099
812	73910	17021
813	74047	16940
814	74173	16857
815	74288	16771
816	74447	16695
817	74607	16619
818	74751	16540
819	74863	16453
820	75117	16397
821	75352	16337
822	75518	16261
823	75649	16177
824	75790	16096
825	75903	16008
826	76008	15919
827	76142	15836
828	76269	15751
829	76435	15674
830	76569	15590
831	76764	15519
832	76894	15434
833	77024	15349
834	77134	15260
835	77267	15175
836	77427	15096
837	77537	15007
838	77648	14918
839	77841	14844
840	78010	14766
841	78119	14676
842	78238	14588
843	78436	14514
844	78632	14440
845	78808	14362
846	79054	14297
847	79140	14202
848	79424	14142
849	79538	14052
850	79762	13981
851	79899	13895
852	80030	13808
853	80211	13729
854	80293	13633
855	80403	13541
856	80515	13450
857	80628	13359
858	80699	13261
859	80825	13172
860	80948	13083
861	81125	13002
862	81198	12905
863	81342	12818
864	81419	12721
865	81518	12628
866	81622	12535
867	81719	12441
868	81813	12347
869	81877	12248
870	81965	12153
871	82055	12058
872	82173	11967
873	82263	11873
874	82389	11783
875	82541	11697
876	82695	11611
877	82822	11521
878	82945	11430
879	83024	11334
880	83128	11241
881	83196	11143
882	83261	11044
883	83389	10954
884	83489	10861
885	83589	10767
886	83814	10689
887	83915	10595
888	84006	10500
889	84116	10408
890	84214	10313
891	84292	10217
892	84373	10121
893	84442	10023
894	84512	9925
895	84598	9830
896	84676	9734
897	84796	9642
898	84917	9550
899	85029	9458
900	85143	9365
901	85217	9268
902	85295	9172
903	85383	9077
904	85450	8979
905	85523	8883
906	85594	8786
907	85672	8690
908	85749	8593
909	85818	8496
910	85893	8400
911	85962	8303
912	86032	8207
913	86104	8110
914	86172	8013
915	86239	7917
916	86306	7820
917	86372	7723
918	86447	7627
919	86555	7534
920	86627	7438
921	86698	7342
922	86770	7246
923	86840	7150
924	86915	7054
925	86983	6958
926	87062	6863
927	87129	6767
928	87197	6671
929	87264	6575
930	87344	6480
931	87406	6384
932	87431	6285
933	87452	6186
934	87474	6087
935	87499	5989
936	87521	5890
937	87543	5792
938	87565	5694
939	87587	5596
940	87608	5498
941	87630	5401
942	87653	5303
943	87674	5206
944	87699	5109
945	87721	5012
946	87742	4915
947	87762	4819
948	87782	4722
949	87802	4626
950	87822	4529
951	87842	4433
952	87865	4337
953	87885	4242
954	87905	4146
955	87926	4051
956	87946	3955
957	87966	3860
958	87989	3765
959	88010	3670
960	88033	3576
961	88056	3481
962	88077	3387
963	88101	3293
964	88122	3199
965	88145	3105
966	88167	3011
967	88189	2918
968	88211	2824
969	88233	2731
970	88254	2638
971	88276	2545
972	88299	2452
973	88321	2360
974	88340	2267
975	88360	2175
976	88380	2082
977	88400	1990
978	88419	1898
979	88440	1806
980	88460	1715
981	88479	1623
982	88500	1532
983	88520	1440
984	88540	1349
985	88560	1258
986	88580	1167
987	88600	1077
988	88621	986
989	88642	896
990	88663	806
991	88683	715
992	88707	625
993	88729	536
994	88749	446
995	88770	356
996	88791	267
997	88814	178
998	88835	89
999	88858	0
